grammar_id,grammar_name,total_count,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,first_seen,tags,variants
G0035,て形接续：动作连接,572,98,56,54,39,68,58,58,79,57,5,E01-0032-1,活用,Vて;なくて
G0036,ないで：不要/不做而,31,12,3,1,1,1,3,3,5,2,0,E01-0033-1,接续,Vないで
G0037,あまり＋否定：不太,16,2,2,2,1,4,0,3,1,1,0,E01-0035-1,副词句型,あまりVない;あんまりVない
G0038,动词ます形词干＋やすい：容易,7,4,2,0,0,0,1,0,0,0,0,E01-0035-1,接尾,接しやすい;食べやすい
G0039,だけ：限定,115,17,12,16,9,10,11,14,10,13,3,E01-0036-1,副助词,Nだけ
G0040,といっても・いうても：虽说/即便说,3,1,0,0,0,0,2,0,0,0,0,E01-0038-1,接续,とはいっても;っていっても;いうても;つっても
G0041,決して＋否定：绝不,3,1,0,0,1,0,0,1,0,0,0,E01-0038-1,副词句型,決してVない
G0042,ほう：一方/类型倾向,34,5,3,1,3,7,5,3,4,3,0,E01-0038-1,名词化,Vほう;Nのほう
G0043,ではない・じゃない：并不是,121,19,17,11,10,9,16,11,19,9,0,E01-0038-1,否定,ではない;じゃない
G0044,もっと：更/更加,13,2,3,1,1,0,2,0,1,0,3,E01-0039-1,副词,もっと＋述语
G0045,いる：存在,118,21,14,13,5,7,24,14,10,7,3,E01-0039-1,存在句,Nがいる
G0046,お＋连用形/名词＋する/ください/できる：敬语框架,228,24,16,35,40,29,35,20,3,21,5,E01-0040-1,敬语,お待たせする;お待ちください;お願いします;お借りできる
G0047,使役形：让/使,28,5,4,1,4,2,5,4,3,0,0,E01-0040-1,活用,せる;させる
G0048,になる：变成/礼貌提示,132,26,15,22,14,11,12,6,16,5,5,E01-0040-2,变化/服务表达,Nになる;Nになります
G0049,ませ：礼貌命令/固定寒暄,39,12,2,5,5,3,6,6,0,0,0,E01-0042-1,丁寧命令,いらっしゃいませ
G0050,よろしいですか：礼貌确认,17,7,0,1,1,2,0,5,0,1,0,E01-0044-1,敬语,よろしいでしょうか
G0051,いたす：する的谦让语,28,5,0,4,11,5,1,1,0,0,1,E01-0046-1,谦让语,いたします;いたしました
G0052,ので・んで：原因/理由,156,17,17,21,18,13,28,12,6,20,4,E01-0046-1,接续,ですので;ますので;んで;なんで
G0053,ください：请求,55,10,4,7,11,4,5,10,0,0,4,E01-0046-1,请求,Vてください;おVください
G0054,たら：条件/时间契机,193,21,26,24,17,18,18,23,22,19,5,E01-0051-1,条件,Vたら;そしたら
G0055,へ：方向/对象,4,1,0,0,0,0,1,1,0,0,1,E01-0053-1,助词/方向,Nへ;NへのN
G0056,じゃ：那么/那就,205,13,21,21,18,19,39,18,24,23,9,E01-0062-1,口语接续,では;じゃあ
G0057,お疲れさま：慰劳寒暄,49,10,5,7,9,4,7,1,1,2,3,E01-0063-1,寒暄,お疲れさまです;お疲れさまでした
G0058,後・前・以来：时间前后,71,4,2,0,9,9,11,4,22,9,1,E01-0067-1,时间,N後;Vた後;N前;Vる前;N以来;それ以来
G0059,そういえば：说起来,30,1,5,6,2,4,6,2,2,2,0,E01-0069-1,接续,そう言えば
G0060,っていう・という：叫作/这样的,68,8,5,2,3,13,15,6,9,7,0,E01-0070-1,口语/引用,という;っていう;ってば;っつう;っつー;とは
G0061,なんで：为什么,64,4,3,8,5,6,5,10,15,8,0,E01-0071-1,疑问词,なぜ;どうして
G0062,なんか：总觉得/什么的/话语填充,174,14,28,36,12,15,23,18,16,12,0,E01-0072-1,口语,何か;なんか
G0063,とか：列举,204,30,40,18,15,14,23,20,16,25,3,E01-0072-1,助词,AとかBとか
G0064,って：口语主题/引用,527,49,68,61,37,68,59,61,51,69,4,E01-0072-1,口语助词,は;と
G0065,らしい：像样/典型/传闻/似乎,23,4,2,0,5,0,3,2,1,6,0,E01-0072-1,助动词,らしい;らしくて;Nらしい;きーさんらしい
G0066,のだ・んだ：说明/解释语气,1243,149,115,146,111,152,136,126,148,144,16,E01-0073-1,句型,のだ;んだ;のです;んです
G0067,それで：于是/然后,52,11,2,6,2,14,3,2,7,4,1,E01-0076-1,接续,それで
G0068,尊敬語：れる・られる・いらっしゃる,16,1,0,2,3,1,2,3,2,2,0,E01-0076-1,尊敬语,される;られる;いらっしゃる
G0069,可能表达：できる・られる・これる,304,33,37,42,32,30,25,33,32,34,6,E01-0077-1,可能,できる;られる;これる
G0070,初めて：第一次/首次,5,1,2,0,0,0,0,0,0,2,0,E01-0075-1,副词句型,初めてVた;Vるのは初めて;初めてだ
G0071,っけ：回想确认,58,8,10,9,3,7,7,5,3,5,1,E01-0086-1,终助词,だっけ;ましたっけ
G0072,疑问词/小句＋か：嵌入疑问,53,8,5,3,4,9,5,8,6,4,1,E01-0089-1,嵌入疑问,どうか;Vか;のか
G0073,てほしい：希望别人做,29,6,2,4,1,5,6,3,0,2,0,E01-0089-1,希望,Vてほしい
G0074,ていうか：话说/不如说,78,6,12,9,11,7,11,10,6,4,2,E01-0091-1,口语接续,というか;てか
G0075,ある：无生命存在/拥有,196,20,30,19,14,19,21,26,21,23,3,E01-0091-1,存在句,Nがある;Nはある
G0076,だから：所以,74,3,14,16,6,5,6,4,13,6,1,E01-0093-1,接续,だから;ですから
G0077,ふりをする：假装,4,1,0,0,0,0,0,0,1,2,0,E01-0093-1,句型,Vふりをする;Nのふりをする
G0078,どうやって：用什么方法,21,4,3,1,0,0,4,0,3,6,0,E01-0094-1,疑问表达,どうやって
G0079,たりする：列举动作,37,5,7,4,0,4,2,4,6,5,0,E01-0095-1,列举,Vたりする
G0080,こういう・そういう・どういう：这种/那种/哪种,119,16,15,10,6,19,12,10,9,19,3,E01-0096-1,连体词,こういうN;そういうN;どういうN;ああいうN
G0081,ば形：条件,59,7,11,8,8,7,3,5,1,4,5,E01-0097-1,条件,Vば;イ形ければ
G0082,ばいい：怎样做才好/建议,20,3,3,8,1,2,0,0,0,3,0,E01-0097-1,建议/疑问,Vばいい
G0083,よ：告知/断言提醒,959,94,143,129,80,91,122,95,98,88,19,E01-0099-1,终助词,よ;ですよ
G0084,申し訳ありません：正式道歉,43,2,1,0,14,1,18,4,1,2,0,E01-0111-1,敬语/寒暄,申し訳ない;申し訳ございません
G0085,ていく・持っていく：带去/动作远离,31,4,3,2,3,4,6,2,3,2,2,E01-0112-1,补助动词,ていく;てく;持っていく
G0086,め：偏……一点,6,1,0,0,0,1,0,2,0,1,1,E01-0114-1,接尾,長め;早め;多め
G0087,お世話になる：承蒙照顾,10,1,0,0,1,1,1,4,0,1,1,E01-0117-1,寒暄,お世話になりました
G0088,から：原因/理由,336,40,44,45,26,24,26,21,57,46,7,E01-0124-1,接续助词,普通形から;ですから
G0089,のに：逆接/明明却,33,8,4,3,5,7,1,2,1,1,1,E01-0126-1,接续,普通形のに;なのに
G0090,てくれる・てくださる：别人为我方做,75,7,5,5,3,8,12,8,10,16,1,E01-0127-1,授受补助,てくれる;てくれた;てくれます;てくださる;てくださって;てくんない
G0091,みたい：像/似乎,102,15,18,12,3,14,9,6,18,6,1,E01-0127-1,比况/推量,みたいだ;みたいな;みたいに
G0092,じゃん：口语确认/提醒,91,10,17,15,4,11,13,11,5,5,0,E01-0129-1,口语终助,じゃないか;じゃん
G0093,どう：怎样/如何,84,12,5,0,10,34,2,12,5,3,1,E01-0133-1,疑问副词,どうですか;どう思う
G0094,だろう・でしょう：推量,174,14,27,18,17,20,15,25,32,5,1,E01-0134-1,推量,だろう;でしょう
G0095,かも：也许/可能,47,7,7,4,6,4,2,5,3,6,3,E01-0136-1,推量,かもしれない;かも
G0096,疑问词＋か：不定,74,14,11,5,4,15,9,6,5,4,1,E01-0136-1,不定表达,どこか;何か;どっか
G0097,の・こと：形式名词/名词化,431,27,82,34,25,54,35,57,60,54,3,E01-0140-1,名词化,そんなの;Vの;Vこと;Nのこと;どういうこと;そんなこと
G0098,じゃないか・〜くない？：确认/推测/反问,261,21,32,39,25,30,20,36,25,31,2,E01-0146-1,口语/确认/反问,ではないか;じゃないか;〜くない？;〜じゃないですか
G0099,かね：不确定的轻问,149,17,17,17,12,9,21,20,11,18,7,E01-0148-1,终助词,ですかね;かな
G0100,ような：像……那样的,27,4,2,0,4,4,2,6,3,2,0,E01-0149-1,比况,ようなN;ように
G0101,というより：与其说……不如说,4,1,0,0,1,1,0,1,0,0,0,E01-0151-1,比较/修正,というより;っていうより
G0102,だか：不确定列举,2,1,0,0,0,0,1,0,0,0,0,E01-0154-1,口语列举,AだかBだか
G0103,迷惑受身：被做某事而受影响,3,2,0,0,0,0,1,0,0,0,0,E01-0165-1,被动,Vられる;Vれる
G0104,別に＋否定：并不特别,21,1,5,2,3,1,0,4,4,1,0,E01-0166-1,副词句型,別に〜ない
G0105,とき：……的时候,78,7,10,7,7,7,10,5,9,14,2,E01-0167-1,时间,Vとき;Nのとき
G0106,と：条件/一……就,70,11,11,3,7,11,8,7,6,3,3,E01-0168-1,条件,Vると
G0107,ちなみに：顺便说一下,49,6,10,2,7,9,4,4,2,5,0,E01-0170-1,接续,ちなみに
G0108,なら：条件/话题承接,52,9,6,6,3,7,1,9,6,5,0,E01-0174-1,条件,Nなら;普通形なら
G0109,ていい・でいい：可以/……就行,85,7,2,6,9,10,14,14,8,14,1,E01-0174-1,许可/妥协,Vていい;Vてもいい;Nでいい;何でもいい
G0110,し：并列理由/补充理由,119,7,21,17,10,10,13,9,15,15,2,E01-0174-1,接续助词,普通形し
G0111,ころ：时期/时候,17,4,5,0,0,0,1,0,5,2,0,E01-0176-1,时间,Nのころ;Vるころ
G0112,ことがある・ことがない：经验/无经验,22,4,9,1,0,0,1,1,4,2,0,E01-0176-1,经验,Vたことがある;Vたことがない
G0113,ておく・とく：预先做/放着,49,1,5,4,5,8,8,5,4,6,3,E01-0177-1,补助动词,ておく;とく;ておいた;ときゃ;しといて;といて
G0114,ずつ：每……/逐个,2,2,0,0,0,0,0,0,0,0,0,E01-0180-1,副助词,1人ずつ;少しずつ
G0115,ついでに：顺便,3,1,1,0,1,0,0,0,0,0,0,E01-0181-1,接续,Nのついでに;Vついでに
G0116,ことが多い：经常/多半,3,2,0,0,1,0,0,0,0,0,0,E01-0181-1,频率,Vることが多い
G0117,连用形中止：书面叙述连接,13,1,1,0,3,1,3,0,2,2,0,E01-0182-1,连接,連用形;ます形词干
G0118,ところで：话说/转换话题,5,1,0,0,2,0,0,1,1,0,0,E01-0184-1,接续,ところで
G0119,例えば：例如,11,2,1,2,1,2,1,1,1,0,0,E01-0185-1,例示,例えば
G0120,さま：郑重敬称,15,1,0,1,5,6,0,2,0,0,0,E01-0187-1,敬称,様;さま
G0121,や・など：非穷尽列举,13,1,1,0,4,5,2,0,0,0,0,E01-0190-1,助词,AやBなど
G0122,場合：场合/情况,4,1,0,2,1,0,0,0,0,0,0,E01-0198-1,名词/条件,Nの場合;V場合
G0123,なぜならば：原因说明,1,1,0,0,0,0,0,0,0,0,0,E01-0199-1,接续,なぜなら;なぜならば
G0124,必ずしも〜とは限らない：未必/不一定,1,1,0,0,0,0,0,0,0,0,0,E01-0199-1,部分否定,必ずしも〜とは限らない
G0125,仮に：假设,6,2,1,0,0,2,0,0,1,0,0,E01-0202-1,假设,仮に
G0126,かねない：可能造成不良结果,2,1,0,0,0,0,0,0,1,0,0,E01-0204-1,风险推量,Vます形＋かねない
G0127,ただいま・おかえりなさい：返回寒暄,15,2,1,3,2,0,5,0,2,0,0,E01-0207-1,寒暄,ただいま;おかえりなさい;おかえりなさいませ
G0128,がる：表现出某种感觉/倾向,6,1,0,0,0,1,0,0,2,1,1,E01-0217-1,接尾,面倒くさがる;嬉しがる
G0129,以外：除……以外,6,1,0,0,1,0,1,2,0,1,0,E01-0220-1,范围,N以外
G0130,ほとんど：几乎不/大部分,6,1,0,0,2,1,1,0,0,1,0,E01-0220-1,副词/程度,ほとんど〜ない;ほとんどです;ほとんど全部
G0131,さ：口语提示/缓和终助词,316,29,39,39,34,18,36,38,51,28,4,E01-0227-1,终助词,さ
G0132,ようになる：变得/开始会,16,2,2,2,2,1,0,3,3,1,0,E01-0229-1,变化,Vるようになる
G0133,てしまう・ちゃう：完成/遗憾/不由得,153,20,16,17,13,16,23,9,19,16,4,E01-0229-1,补助动词/缩约,てしまう;ちゃう;じゃう
G0134,たい：想要,84,13,10,8,14,7,6,10,5,9,2,E01-0235-1,希望,Vます形＋たい
G0135,づらい：难以,5,1,1,1,0,0,0,0,0,2,0,E01-0240-1,接尾,Vます形＋づらい
G0136,意向形＋とする：正要/试图,13,4,1,0,2,0,1,3,0,2,0,E01-0245-1,意向,V意向形＋とする
G0137,ていただく：请对方做/承蒙,8,1,0,0,4,0,0,2,1,0,0,E01-0247-1,谦让/授受,Vていただく
G0138,もしかしたら・もしかすると：也许/万一,12,1,1,1,3,1,1,4,0,0,0,E01-0249-1,推量副词,もしかしたら;もしかすると
G0139,てあげる：为别人做,10,2,1,0,0,2,4,0,0,0,1,E01-0251-1,授受补助,Vてあげる;Vてやる;Vてさしあげる
G0140,である：书面/正式断定,4,1,1,0,0,0,1,0,1,0,0,E01-0257-1,断定,である;であって
G0141,もらう・もらえる：获得/能得到,130,19,13,8,17,14,7,12,3,31,6,E01-0261-1,授受,もらう;もらえる;いただく
G0142,ことになる：成为规定/安排,11,1,0,0,3,2,2,1,1,1,0,E01-0261-1,结果/规定,Vることになる;ことになっている
G0143,までに：截止到……之前,3,1,0,0,1,0,0,1,0,0,0,E01-0265-1,期限,Nまでに
G0144,ごろ：大约时间,1,1,0,0,0,0,0,0,0,0,0,E01-0265-1,时间,時刻＋ごろ;ころ
G0145,いくら：多少金额/数量,1,1,0,0,0,0,0,0,0,0,0,E01-0269-1,疑问词,いくら;いくらぐらい
G0146,ぶりに：隔了……之后,19,1,1,4,2,0,4,0,5,2,0,E01-0271-1,时间间隔,久しぶりに;三年ぶりに
G0147,Nもあって：也因为/部分由于,1,1,0,0,0,0,0,0,0,0,0,E01-0274-1,原因,Nもあって;こともあって
G0148,とこ：ところ的口语缩约,16,4,2,3,2,1,0,2,1,1,0,E01-0284-1,口语缩约,ところ;とこ
G0149,目：第……/第几年,3,1,1,0,0,0,0,1,0,0,0,E01-0287-1,接尾,数量詞＋目;年目
G0150,ものだ・もんなの：一般性质/感叹确认,69,9,15,11,5,4,8,8,6,3,0,E01-0292-1,句型/口语,ものだ;もんだ;もんなの
G0151,たち：复数/群体后缀,51,5,11,4,2,4,5,1,14,3,2,E01-0293-1,接尾,私たち;子どもたち
G0152,よりも：比起……更,28,1,2,6,3,1,3,1,7,4,0,E01-0296-1,比较,Nよりも;それよりも
G0153,でいうと：用……来说/拿……比喻,6,2,0,1,0,0,0,0,3,0,0,E01-0301-1,比喻/说明,Nでいうと;Nで言えば;Nに例えると;Nで言ったら
G0154,こそ：正是/强调,9,1,0,1,1,1,2,2,0,1,0,E01-0303-1,强调,こそ;だからこそ;今こそ
G0155,なきゃいけない・なきゃダメ：必须,25,3,6,2,3,0,2,5,3,1,0,E01-0303-1,义务/缩约,なければいけない;なきゃいけない;なきゃ;なきゃダメ
G0156,だって：因为/可是/听说/强调/连……也,66,2,5,12,3,10,6,7,11,10,0,E01-0307-2,口语接续/转述/副助词/强调,だって;んだって;なんだって;だってさ;Nだって
G0157,わけ：道理/理应如此,34,4,6,6,2,1,1,5,7,2,0,E01-0309-1,解释,わけだ;わけではない;わけじゃない
G0158,どちらかというと：硬要说的话/比较起来,3,2,1,0,0,0,0,0,0,0,0,E01-0313-1,比较/口语,どちらかというと;どっちかっていうと;どっちかっつったら
G0159,てはいる・AはA：确实……但是,9,1,0,0,1,0,2,3,1,1,0,E01-0316-1,让步,てはいる;ではある;眠いは眠い;高いは高い
G0160,あまりにも：过于/实在太,4,2,0,0,0,1,0,0,1,0,0,E01-0317-1,程度副词,あまりにも
G0161,なんなら：甚至可以说/要不,7,1,0,1,0,0,0,3,1,1,0,E01-0324-1,口语,なんなら;何なら;なんだったら;何だったら
G0162,一切/全く＋否定：完全不,18,2,2,2,1,6,1,2,1,1,0,E01-0326-1,副词句型,一切〜ない;一切〜ず;全く〜ない
G0163,ず・ずに：不……而/没……就,18,2,1,2,3,0,1,1,6,2,0,E01-0326-1,否定接续,Vず;Vずに;せず;せずに
G0164,ように：为了/以免/做到……,22,3,3,1,3,2,2,1,0,6,1,E01-0329-1,目的,Vるように;Vないように
G0165,疑问词＋も＋否定：全面否定,35,8,5,0,0,4,3,3,8,3,1,E01-0357-1,否定,誰にも〜ない;何も〜ない;どこにも〜ない
G0166,ないと：不……就/如果不,25,2,5,8,2,2,3,1,0,2,0,E01-0367-1,条件,Vないと;Nじゃないと;イくないと;じゃなきゃ
G0167,こんな/そんな/どんな：这种/那种/什么样的,101,4,2,7,8,25,7,17,15,15,1,E01-0368-1,指示连体词/疑问连体词,こんなN;そんなN;あんなN;どんなN
G0168,てみる：试着做/看看,56,6,7,5,5,11,3,3,6,10,0,E01-0376-2,补助动词,Vてみる;てみたい;てみた
G0169,ごと：连同/整个,4,2,0,1,0,1,0,0,0,0,0,E01-0390-1,接尾/副助词,Nごと;自転車ごと
G0170,ほうがいい・よかった：最好/当初该……,26,1,1,3,0,7,4,3,0,7,0,E01-0402-1,建议/回顾,Vたほうがいい;Vないほうがいい;Vないほうがよかった
G0171,全然：完全/完全不,48,5,4,10,10,4,6,3,4,2,0,E01-0408-1,副词/口语,全然〜ない;全然いい;ぜんぜん
G0172,気になる：在意/好奇,10,1,0,0,0,1,0,4,2,0,2,E01-0409-1,句型,気になる;気になっている
G0173,にする：使成为/决定为,45,6,1,1,6,13,6,5,1,6,0,E01-0418-1,变化/决定,Nにする;ナイショにする
G0174,动词ます形词干＋出す：开始……,8,2,0,2,0,1,1,0,1,1,0,E01-0424-1,复合动词,言い出す;泣き出す;走り出す
G0175,かまわない：没关系/不介意,3,1,0,0,0,1,1,0,0,0,0,E01-0454-1,许可/容许,かまわない;構わない;かまいません
G0176,よかったら：如果方便/可以的话,13,2,1,1,2,2,4,0,0,1,0,E01-0489-1,条件/邀请,よかったら;よければ;よろしければ
G0177,かというと・かっていうと：要说为什么/说到……,7,1,0,0,0,1,1,1,1,2,0,E01-0495-1,说明/引用,なぜかというと;かというと;かっていうと
G0178,疑问词＋でも：无论/任何,27,8,3,3,1,2,3,3,0,3,1,E01-0499-2,不定/全面,何でも;どこにでも;誰でも;いつでも
G0179,すぎる・過ぎ：过于/太……,24,3,2,1,1,3,6,2,5,1,0,E01-0501-1,程度/接尾,急すぎる;なさすぎる;普通すぎる;見過ぎ
G0180,その代わり：作为交换/不过,10,3,0,0,1,0,3,1,2,0,0,E01-0504-1,接续,その代わり;代わりに
G0181,しか＋否定・しかない：只有/只好,26,3,2,4,2,2,3,5,1,4,0,E01-0563-1,限定/义务,Nしか〜ない;Vるしかない;Nしかない
G0182,ひょっとして：莫非/该不会,8,1,0,0,0,0,2,2,0,3,0,E01-0574-1,推量副词,ひょっとして;もしかして
G0183,なくていい：不必/不用,10,1,1,2,0,0,2,0,1,3,0,E01-0587-1,许可/不必要,Vなくていい;Vなくてもいい
G0184,Vなくなる：不再……,38,4,4,0,3,1,2,5,17,2,0,E01-0595-1,变化/否定,会わなくなる;行かなくなる;しなくなる
G0185,とりあえず：暂且/先,42,3,1,4,12,4,6,9,1,2,0,E01-0617-1,副词/接续,とりあえず
G0186,なし：没有/不允许,6,1,0,0,0,2,1,1,0,1,0,E01-0605-1,名词/口语,なし;無し;Nはなし
G0187,なくはない・なくもない：并非不……,3,1,1,1,0,0,0,0,0,0,0,E01-0620-1,双重否定/缓和,なくはない;なくもない;ないことはない
G0188,大した〜ない：没什么了不起,9,2,2,1,1,0,0,0,0,3,0,E01-0628-1,否定/评价,大したことない;そんな大した〜ない
G0189,っす・んス：口语丁寧体缩约,36,2,2,7,2,6,4,3,7,2,1,E01-0639-1,口语/丁寧体,っす;ッス;んス;です
G0190,ということ・ってこと：也就是说/这回事,96,9,8,9,7,15,15,8,12,13,0,E01-0641-1,说明/名词化,ということ;ってこと;ってことは
G0191,と比べて・に比べたら：与……相比,4,1,0,0,0,0,1,0,1,1,0,E01-0639-1,比较,Nと比べて;Nに比べて;Nに比べたら;Nに比べれば
G0192,何より：比什么都/最重要的是,4,1,0,0,0,0,2,1,0,0,0,E01-0666-1,副词/强调,何より;何よりも
G0193,も〜も：……也……也,8,1,2,1,0,0,1,0,2,1,0,E01-0669-1,并列/强调,NもNも;AもBも
G0194,下手したら：弄不好/搞不好,7,1,0,0,1,0,0,3,1,1,0,E01-0706-1,条件/副词,下手したら;下手すると;下手すれば;下手すりゃ
G0195,ないとは言えない：不能说不/有可能,2,1,0,1,0,0,0,0,0,0,0,E01-0708-1,双重否定/可能性,ないとは言えない;ないとも言えない
G0196,要は：总之/也就是说,5,1,0,0,0,1,1,0,2,0,0,E01-0715-1,接续/总结,要は;要するに
G0197,せいで：因为……（负面原因）,3,1,0,0,0,0,0,0,2,0,0,E01-0770-1,原因,Nのせいで;Vたせいで;せい
G0198,には代えられない：无法替代,1,1,0,0,0,0,0,0,0,0,0,E01-0771-1,惯用句/可能否定,Nには代えられない;Nに代えられない
G0199,で済む：以……解决/只需……就行,3,1,0,0,0,0,0,0,2,0,0,E01-0775-1,句型,Nで済む;Vて済む;済ませる
G0200,つもり：打算/意图,7,1,0,0,2,1,0,0,0,3,0,E01-0788-1,意图/名词,Vるつもり;Vないつもり;そんなつもり
G0201,意向形：意志/提议/自问,114,4,19,21,9,13,15,8,9,14,2,E01-0543-1,活用/意向,しよう;話そう;行こう;しよっか
G0202,あっという間に：转眼/一瞬间,3,1,0,0,0,0,1,1,0,0,0,E01-0803-1,副词/时间,あっという間に;あっという間
G0203,どおり・とおり：按照/如同,11,2,1,0,2,2,0,2,1,1,0,E01-0809-1,接尾/名词,Nどおり;Nのとおり;Vるとおり;いつもどおり
G0204,ことなく：不……而/没有……,3,1,0,0,1,0,0,0,1,0,0,E01-0809-1,否定接续,Vることなく
G0205,Vます形词干＋続ける：持续……,4,1,0,0,1,1,0,0,1,0,0,E01-0814-1,复合动词,与え続ける;使い続ける;歩き続ける
G0206,として・としても：假设……/即使假设……也,4,1,1,0,0,0,0,2,0,0,0,E01-0837-1,让步/假设,Vたとして;Vるとしても;Nだとしても;仮に〜としても;としたら
G0207,的な：……般的/……式的,28,1,5,4,2,4,4,1,4,3,0,E01-0862-1,接尾/连体,N的な;N的に
G0208,ところ：场面/阶段/部分,19,1,3,1,3,3,3,1,0,3,1,E01-0863-1,形式名词,Vているところ;Vるところ;Vたところ;今のところ
G0209,っちゃ：说是……也/如果说,4,1,0,1,0,0,1,0,1,0,0,E01-0879-1,口语/让步,VるっちゃVる;と言えば
G0210,Vます形词干＋かける：快要/正在……,1,1,0,0,0,0,0,0,0,0,0,E01-0886-1,复合动词,消えかける;言いかける;食べかける
G0211,念のため：以防万一,1,1,0,0,0,0,0,0,0,0,0,E01-0931-1,副词句,念のため
G0212,つい：不由得/一不小心,5,1,1,0,1,0,0,0,0,2,0,E01-0935-1,副词,ついVてしまう;つい
G0213,さすがに：毕竟/再怎么说,36,1,3,8,6,5,2,2,4,3,2,E01-0943-1,副词,さすがに
G0214,Vます形词干＋に行く/来る：去/来做……,27,1,3,4,2,4,4,7,1,0,1,E01-0968-1,目的,戻しに行く;見に行く;買いに来る
G0215,そもそも：说到底/本来,17,1,3,3,2,1,0,0,3,2,2,E01-0976-1,接续/副词,そもそも
G0216,たまたま：偶然/碰巧,10,1,0,2,0,2,2,1,1,1,0,E01-1001-1,副词,たまたま
G0217,ても・たって：即使/无论,67,1,8,10,11,10,12,6,4,4,1,E01-1018-1,让步/条件,Vても;Vたって;イくても;Nでも;疑问词＋ても
